,Cell,Answer
0,11,Hilvarenbeek
1,132,1 van de 8
2,83,Vijfhuizen
3,3,Biestse Boulers
4,145,Westpoint
5,0,Bud Brocken
6,12,Gorp en Roovert
7,1,Bram Braam
8,64,Lampegat
9,4,Bossche Broek
10,37,Paperclip
11,133,Wintelre
12,93,De Vrijthof
13,99,Heeswijk
14,77,De Laat
15,92,Papgat
16,38,Frits Spits
17,63,De Twee Pinten
18,131,Duizel
19,91,Sint Joris
20,111,076 (Breda)
21,90,Heilige
22,79,t Kruiken(plein)
23,109,Eindigt op el
24,165,t Blauwe Meer
25,136,Eten en Drinken (ED)
26,147,Beerze
27,138,Vught
28,156,t Zand
29,153,In de volksmond (IDV)
30,168,Borghs
31,28,7 letters
32,103,Bergen op Zoom
