Cell,Cell2,Answer
2,3,Beekse Bergen
5,6,Biesbosch
9,10,Willem II
13,14,Natuur
17,18,Donders
26,27,Paaspop
30,31,Met dubbel s
36,37,Festival
50,51,Anton Philips
51,52,040 (Eindhoven
57,58,Dierlijk
62,63,Strontrapers
78,79,Alaaf
82,83,Getal/Cijfer
84,85,Buurtschap
88,89,West Brabant
106,107,De Lind
107,108,Kiosk
113,114,Kasteel
117,118,3x dezelfde letter
118,119,Frits Philips
134,135,Begint met een W
140,141,Met dubbel T
142,143,Hulsel
151,152,Zittend Meisje
155,156,Tilburg
157,158,Water
163,164,Bartels
166,167,Bergsche Maas
169,170,Bekende Brabanders
170,171,Met B en B
171,172,Eerste- en Eindletter hetzelfde
172,173,(stand)beeld / (Rijks)monument
173,174,Begint met een B
174,175,Zes letters
