Cell,Answer
11,Hilvarenbeek
132,1 van de 8
83,Vijfhuizen
3,Biestse Boulers
145,Westpoint
0,Bud Brocken
12,Gorp en Roovert
1,Bram Braam
64,Lampegat
4,Bossche Broek
37,Paperclip
133,Wintelre
93,De Vrijthof
99,Heeswijk
77,De Laat
92,Papgat
38,Frits Spits
63,De Twee Pinten
131,Duizel
143,Stinsel
153,In de volksmond (IDV)
28,Sport
91,Sint Joris
159,s Hertogenbosch (DB)
111,076 (Breda)
7,Bieb
90,Heilige
161,Bekant
79,t Kruiken(plein)
80,Plein
109,Eindigt op el
165,t Blauwe Meer
136,Eten en Drinken (ED)
